,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SalesID,SalePrice,MachineID,ModelID,datasource,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBand,saledate,fiModelDesc,fiBaseModel,fiSecondaryDesc,fiModelSeries,fiModelDescriptor,ProductSize,fiProductClassDesc,state,ProductGroup,ProductGroupDesc,Drive_System,Enclosure,Forks,Pad_Type,Ride_Control,Stick,Transmission,Turbocharged,Blade_Extension,Blade_Width,Enclosure_Type,Engine_Horsepower,Hydraulics,Pushblock,Ripper,Scarifier,Tip_Control,Tire_Size,Coupler,Coupler_System,Grouser_Tracks,Hydraulics_Flow,Track_Type,Undercarriage_Pad_Width,Stick_Length,Thumb,Pattern_Changer,Grouser_Type,Backhoe_Mounting,Blade_Type,Travel_Controls,Differential_Type,Steering_Controls
46,955,516,948,861,95737,1408041,13250,1523131,7019,132,5.0,2000,,,10/15/2005 0:00,246,246,,,,,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,New Jersey,SSL,Skid Steer Loaders,,EROPS,None or Unspecified,,,,,,,,,,Standard,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
314,792,251,446,522,57863,1315699,31500,30831,4323,132,11.0,1993,,,3/27/1997 0:00,IT12F,IT12,F,,,Compact,Wheel Loader - 60.0 to 80.0 Horsepower,Mississippi,WL,Wheel Loader,,EROPS,Yes,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
583,564,247,607,277,288656,2205266,23000,1687708,3199,136,,1999,0.0,,3/26/2009 0:00,621B,621,B,,,,Wheel Loader - 120.0 to 135.0 Horsepower,Connecticut,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
876,109,463,155,788,277840,1840541,30000,1485357,17975,132,1.0,2002,,,9/29/2005 0:00,TX760,TX760,,,,,Backhoe Loader - 0.0 to 14.0 Ft Standard Digging Depth,Texas,BL,Backhoe Loaders,Four Wheel Drive,EROPS w AC,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
61,674,493,377,284,209940,1663086,29000,1270329,4991,132,1.0,1999,,,3/23/2000 0:00,555E,555,E,,,,Backhoe Loader - Unidentified,North Carolina,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Powershuttle,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
94,621,135,343,143,369793,2631433,43000,1149159,4712,149,5.0,2004,0.0,,1/28/2011 0:00,550H,550,H,,,,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",Connecticut,TTT,Track Type Tractors,,EROPS w AC,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
156,790,9,814,574,189025,1625207,10000,1511773,4603,132,1.0,1994,1316.0,Low,11/18/2010 0:00,310D,310,D,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arizona,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
775,735,850,237,461,62401,1328609,23000,1271992,4104,132,11.0,1981,,,5/28/1998 0:00,D4E,D4,E,,,,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",Mississippi,TTT,Track Type Tractors,,OROPS,,,,,Direct Drive,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,
542,996,316,511,550,281665,1883675,18000,523568,12524,132,1.0,1999,,,2/20/2003 0:00,TB135,TB135,,,,Mini,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
329,777,911,957,695,285607,2198265,11000,1770191,3321,136,,1986,0.0,,5/22/2007 0:00,W20C,W20,C,,,,Wheel Loader - 100.0 to 110.0 Horsepower,Pennsylvania,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
86,52,599,947,876,289584,2206819,18000,1695897,6793,136,,1994,0.0,,9/15/2007 0:00,590,590,,,,,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,New Jersey,BL,Backhoe Loaders,Four Wheel Drive,EROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
463,49,184,409,625,350565,2413116,40000,1536408,9125,136,1.0,1998,0.0,,12/8/2008 0:00,WA600,WA600,,,,Large,Wheel Loader - 350.0 to 500.0 Horsepower,Illinois,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
477,256,798,903,540,201814,1641087,27000,1344094,4605,132,3.0,2003,,,9/23/2010 0:00,310G,310,G,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,California,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
996,157,77,996,445,274580,1819284,9000,1144895,5561,132,2.0,1000,,,4/29/2000 0:00,BD2G,BD2,G,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Ohio,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,
765,441,324,867,197,219522,1687773,14000,1362511,22982,132,2.0,1995,,,2/10/2006 0:00,EX55UR,EX55,UR,,,Mini,"Hydraulic Excavator, Track - 5.0 to 6.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Rubber,18 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
131,248,430,73,471,143378,1510350,49000,731257,3778,132,1.0,1990,,,10/31/1991 0:00,926E,926,E,,,,Wheel Loader - 100.0 to 110.0 Horsepower,Georgia,WL,Wheel Loader,,EROPS,Yes,,None or Unspecified,,,,,,,,2 Valve,,,,,17.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
90,572,929,202,97,319000,2297096,97000,153563,23926,136,7.0,2004,0.0,,9/9/2009 0:00,12HNA,12,H,,,,Motorgrader - 130.0 to 145.0 Horsepower,Alabama,MG,Motor Graders,No,EROPS w AC,,,,,None or Unspecified,,None or Unspecified,14',Low Profile,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Tip,"14""",,,,,,,,,,,,,,,
112,588,755,650,280,105686,1433565,52000,1286908,1614,132,10.0,1988,,,6/25/1998 0:00,D6HLGP,D6,H,,LGP,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",Louisiana,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
390,412,178,461,869,393776,6265077,14000,967063,3415,149,1.0,1989,,,6/30/2011 0:00,235C,235,C,,,Large / Medium,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",Washington,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
319,31,2,204,186,142183,1508007,13500,1245139,7464,132,18.0,1970,,,6/2/1992 0:00,D5,D5,,,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Virginia,TTT,Track Type Tractors,,OROPS,,,,,Direct Drive,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,
971,202,717,787,88,295067,2225148,107500,107255,4141,136,1.0,1997,0.0,,6/24/2008 0:00,D7R,D7,R,,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",North Carolina,TTT,Track Type Tractors,,EROPS w AC,,,,,Standard,,,,,,2 Valve,,Multi Shank,,,,,,,,,,,,,,None or Unspecified,Semi U,Differential Steer,,
206,642,63,7,931,84573,1386638,32500,110326,3538,132,2.0,1997,,,7/29/2000 0:00,416C,416,C,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Ohio,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,Reversible,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
168,660,233,630,647,199419,1637916,34000,1515590,4641,132,99.0,2000,,,12/10/2005 0:00,410E,410,E,,,,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,California,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
141,304,459,719,784,243490,1750762,40000,1225675,16605,132,28.0,2006,,,9/8/2006 0:00,PC50MR-2,PC50,MR,-2,,Mini,"Hydraulic Excavator, Track - 5.0 to 6.0 Metric Tons",Mississippi,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
92,729,890,58,694,115352,1452348,29000,1553482,3854,132,1.0,1973,,,3/16/1989 0:00,966C,966,C,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,23.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
664,540,154,918,411,1975,1145829,32000,318665,3466,121,3.0,1999,5225.0,Medium,4/12/2007 0:00,312B,312,B,,,Small,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",West Virginia,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Steel,28 inch,None or Unspecified,None or Unspecified,Yes,Triple,,,,,
142,869,905,928,9,99642,1417421,75000,33256,3357,132,1.0,1987,,,6/21/1994 0:00,12G,12,G,,,,Motorgrader - 130.0 to 145.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Sideshift & Tip,None or Unspecified,,,,,,,,,,,,,,,
10,458,780,54,733,81289,1378929,64000,1090363,1158,132,1.0,1996,,,12/13/2005 0:00,320BL,320,B,,L,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",California,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,"10' 6""",None or Unspecified,None or Unspecified,Double,,,,,
696,55,566,433,803,188877,1625016,13750,6234,4640,132,7.0,1993,,,12/6/2002 0:00,410D,410,D,,,,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,Alabama,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
391,527,48,299,329,317574,2292834,32000,732474,3539,136,99.0,2004,1912.0,Medium,12/2/2009 0:00,416D,416,D,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Alabama,BL,Backhoe Loaders,Four Wheel Drive,EROPS w AC,None or Unspecified,None or Unspecified,No,Extended,Standard,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
458,69,946,431,124,267238,1804180,12000,1366624,5534,132,4.0,2001,,,2/12/2008 0:00,873G,873,G,,,,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Florida,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Standard,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
370,45,394,604,827,49134,1291714,20000,1217989,3190,132,4.0,1996,,,2/10/2009 0:00,590SUPER L,590,SUPER L,,,,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
21,144,229,823,468,69239,1346467,29000,1536509,1605,132,1.0,1978,,,11/16/1993 0:00,D6DLGP,D6,D,,LGP,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Wisconsin,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,
305,828,832,540,428,231001,1724258,48000,1216975,11862,132,1.0,1999,,,9/24/2004 0:00,SK200LC,SK200,LC,,,Large / Medium,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",California,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,Manual,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Triple,,,,,
733,617,235,398,725,351972,2415457,29000,1321534,28584,136,1.0,2000,0.0,,3/2/2009 0:00,PC220LC6LE,PC220,LC,6,LE,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Missouri,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,Manual,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
797,122,207,140,276,280650,1876639,9750,1087544,10829,132,2.0,1997,,,6/17/2000 0:00,2040,2040,,,,,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,Kansas,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Standard,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
358,852,11,196,121,55966,1307076,38000,1457406,4156,132,1.0,1985,,,6/4/2002 0:00,D9L,D9,L,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",California,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,
113,213,674,953,608,243521,1750830,56000,1236527,415,132,2.0,1994,4644.0,Low,11/20/1999 0:00,PC220LC6,PC220,,LC,6,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Ohio,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,502,982,992,345,124851,1470576,29000,520701,1528,132,1.0,1994,,,9/17/1998 0:00,D3CIIILGP,D3,C,III,LGP,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,3 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
234,396,622,871,40,154301,1538383,86000,1502882,3487,132,9.0,2003,,,2/23/2006 0:00,320C,320,C,,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,24 inch,None or Unspecified,None or Unspecified,None or Unspecified,Triple,,,,,
282,658,540,805,598,260104,1794126,10500,1325583,9567,132,6.0,1990,,,1/28/1999 0:00,943,943,,,,,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,New Mexico,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Standard,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
359,916,355,199,708,92252,1403363,16000,1234236,7110,132,1.0,1986,,,8/20/1996 0:00,416,416,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
127,987,962,657,322,71358,1352653,51000,535399,1596,132,4.0,1998,,,2/9/2004 0:00,D5MLGP,D5,M,,LGP,Medium,"Track Type Tractor, Dozer - 105.0 to 130.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,VPAT,None or Unspecified,,
954,39,237,61,962,198813,1637199,21000,1486078,4604,132,1.0,2000,,,7/9/2008 0:00,310E,310,E,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
816,42,220,34,956,296209,2228359,74000,885948,23931,136,1.0,1000,0.0,,6/15/2010 0:00,140HNA,140,H,,,,Motorgrader - 170.0 to 200.0 Horsepower,Tennessee,MG,Motor Graders,No,EROPS w AC,,,,,None or Unspecified,,None or Unspecified,14',None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,None or Unspecified,"14""",,,,,,,,,,,,,,,
490,189,452,93,664,46309,1288009,24000,1238113,3178,132,1.0,1998,,,11/27/2001 0:00,580SUPER L,580,SUPER L,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arizona,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
114,276,882,198,797,394009,6266143,26000,1797060,1597,149,1.0,1997,,,10/18/2011 0:00,D5MXL,D5,M,,XL,Medium,"Track Type Tractor, Dozer - 105.0 to 130.0 Horsepower",Maryland,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,Finger Tip,,
115,663,525,541,652,156538,1555186,58500,260518,3775,132,2.0,2006,,,1/31/2009 0:00,924G,924,G,,,,Wheel Loader - 120.0 to 135.0 Horsepower,Florida,WL,Wheel Loader,,EROPS w AC,Yes,,Yes,,,,,,,,3 Valve,,,,,None or Unspecified,Manual,,,,,,,,,,,,,Limited Slip,Conventional
315,928,960,275,138,226090,1713073,13000,1424275,24771,132,10.0,2003,,,5/20/2008 0:00,805.2,805.2,,,,Mini,"Hydraulic Excavator, Track - 5.0 to 6.0 Metric Tons",Louisiana,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
222,779,521,471,557,309678,2265418,9500,1337836,7257,136,1.0,1978,0.0,,11/16/2007 0:00,910,910,,,,Compact,Wheel Loader - 60.0 to 80.0 Horsepower,Arizona,WL,Wheel Loader,,OROPS,Yes,,None or Unspecified,,,,,,,,2 Valve,,,,,15.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
924,921,406,927,570,215471,1679926,18500,1438632,11638,132,8.0,1000,,,5/25/2004 0:00,EX75UR,EX75,UR,,,Mini,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",Mississippi,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
106,243,104,562,578,20377,1210182,13500,1013483,17313,121,3.0,2005,3763.0,High,1/28/2011 0:00,S220,S220,,,,,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,South Dakota,SSL,Skid Steer Loaders,,EROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,Manual,Yes,None or Unspecified,Standard,,,,,,,,,,,
720,280,179,878,799,86015,1389217,61000,1542005,3883,132,1.0,1977,,,3/30/1989 0:00,988B,988,B,,,Large,Wheel Loader - 350.0 to 500.0 Horsepower,Utah,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,23.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
517,454,47,658,859,293337,2215762,21000,1346773,6974,136,4.0,1970,0.0,,8/21/2008 0:00,120,120,,,,,Motorgrader - 45.0 to 130.0 Horsepower,South Carolina,MG,Motor Graders,No,EROPS,,,,,None or Unspecified,,None or Unspecified,12',None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Sideshift & Tip,None or Unspecified,,,,,,,,,,,,,,,
827,300,919,951,824,301464,2244251,32000,503629,3415,136,1.0,1989,0.0,,3/12/2009 0:00,235C,235,C,,,Large / Medium,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",Illinois,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
580,244,341,88,757,86825,1390727,60000,211000,3883,132,1.0,1991,,,4/4/2002 0:00,988B,988,B,,,Large,Wheel Loader - 350.0 to 500.0 Horsepower,Colorado,WL,Wheel Loader,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
624,74,593,622,957,16494,1194514,12000,1028604,24808,121,3.0,1997,0.0,,10/29/2009 0:00,214E4WD,214,E,,4WD,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,North Carolina,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Powershuttle,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
449,863,320,348,879,266718,1803438,11500,1218100,9506,132,2.0,2000,,,2/5/2006 0:00,325,325,,,,Mini,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
567,6,196,539,456,230426,1723048,44000,1397550,16246,132,13.0,1997,,,3/16/2002 0:00,SK120LC-III,SK120,LC,#NAME?,,Small,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",Tennessee,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
484,988,369,347,260,49131,1291711,25000,1233532,3190,132,1.0,1996,,,10/16/2004 0:00,590SUPER L,590,SUPER L,,,,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,Nevada,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
778,308,966,777,586,352241,2415997,53000,1532069,385,136,1.0,1000,3698.0,Medium,6/30/2009 0:00,PC200LC7,PC200,,LC,7,Small,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Wyoming,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Steel,None or Unspecified,"9' 6""",None or Unspecified,None or Unspecified,Double,,,,,
50,250,724,166,209,329480,2336432,32500,1098749,4607,136,12.0,2004,0.0,,9/24/2008 0:00,310SG,310,SG,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,South Carolina,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
535,489,787,401,172,149919,1523838,59000,249722,1177,132,10.0,1993,,,5/6/1998 0:00,320L,320,,,L,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",South Carolina,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,32 inch,None or Unspecified,Manual,Yes,Triple,,,,,
414,221,906,684,901,342799,2369025,19000,1130417,11586,136,2.0,1994,0.0,,4/24/2009 0:00,EX100-3,EX100,,-3,,Small,"Hydraulic Excavator, Track - 8.0 to 11.0 Metric Tons",Maryland,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
660,580,46,294,290,11787,1177676,10500,1039231,7001,121,3.0,1000,0.0,,4/3/2008 0:00,215,215,,,,Small,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Utah,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,20 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
144,425,228,649,62,20231,1209504,5100,1010861,9580,121,3.0,2004,0.0,,1/13/2011 0:00,T190,T190,,,,,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,South Carolina,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,Manual,Yes,None or Unspecified,Standard,,,,,,,,,,,
734,500,89,679,707,337090,2350620,18750,1758983,4605,136,,2004,977.0,Low,3/24/2009 0:00,310G,310,G,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
735,414,499,98,268,155990,1550482,37000,796556,1535,132,1.0,2002,,,9/29/2005 0:00,D3GLGP,D3,G,,LGP,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Texas,TTT,Track Type Tractors,,OROPS,,,,,Hydrostatic,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
749,816,536,179,993,258959,1792231,6000,1536802,9548,132,1.0,1985,,,6/20/1997 0:00,743,743,,,,,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,Washington,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Standard,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
82,128,359,566,991,339085,2354064,20000,1729148,1860,136,1.0,2004,0.0,,5/27/2009 0:00,450HLGP,450,H,,LGP,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
462,399,273,293,960,140256,1502328,30000,1300019,4155,132,1.0,1977,,,5/22/2001 0:00,D9H,D9,H,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",Tennessee,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Semi U,None or Unspecified,,
843,148,585,460,819,109332,1441536,24500,730066,2752,132,28.0,1994,,,3/9/2001 0:00,D4CIII,D4,C,III,,,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",Mississippi,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
